lastname|name|patronymic|date_of_birth|id
Фамилия1|Имя1|Отчество1 |21.11.1998   |312040348-3048
Фамилия1|Имя1|Отчество2 |21.11.1998   |312040348-3048
Фамилия1|Имя1|Отчество1 |21.11.1999   |312040348-3048
Фамилия1|Имя2|Отчество1 |21.11.1998   |312040348-3048
Фамилия1|Имя2|Отчество1 |21.11.1998   |312040348-3048
Фамилия1|Имя2|Отчество1 |21.11.1998   |312040348-3048
Фамилия1|Имя2|Отчество1 |21.11.1998   |312040348-3048
Фамилия1|Имя2|Отчество1 |21.11.1998   |312040348-3048
Фамилия1|Имя2|Отчество1 |21.11.1998   |312040348-3048
Фамилия1|Имя2|Отчество1 |21.11.1998   |312040348-3048
Фамилия1|Имя2|Отчество1 |21.11.1998   |312040348-3048
Фамилия2|Имя1|Отчество1 |21.11.1998   |312040348-3048
Фамилия2|Имя2|Отчество2 |11.01.1972   |457865234-3431
Фамилия2|Имя2|Отчество2 |11.01.1972   |457865234-3431
Фамилия2|Имя2|Отчество2 |11.01.1972   |457865234-3431
Фамилия2|Имя2|Отчество2 |11.01.1972   |457865234-3431
Фамилия2|Имя2|Отчество2 |11.01.1972   |457865234-3431
Фамилия2|Имя2|Отчество2 |11.01.1972   |457865234-3431
Фамилия2|Имя2|Отчество2 |11.01.1972   |457865234-3431
Фамилия2|Имя2|Отчество2 |11.01.1972   |457865234-3431
Фамилия2|Имя2|Отчество2 |11.01.1972   |457865234-3431
Фамилия1|Имя1|Отчество1 |11.01.1972   |457865234-3431
Фамилия1|Имя1|Отчество1 |11.01.1972   |457865234-3430
